"x"	"y"
0	1.52504e-21
0	-4.5893e-20
0	-6.94622e-20
0	1.78207e-13
0	2.59904e-13
0	2.98418e-13
0	3.19303e-13
0	3.33974e-13
0	3.46818e-13
0	3.59196e-13
0	3.7143e-13
0	3.83618e-13
0	3.95799e-13
0	4.08003e-13
0	4.20236e-13
0	4.32522e-13
0	4.44858e-13
0	4.57254e-13
0	4.69718e-13
0	4.82266e-13
0	4.9489e-13
0	5.07602e-13
0	5.20413e-13
0	5.3333e-13
0	5.46351e-13
0	5.59484e-13
0	5.72739e-13
0	5.86118e-13
0	5.99617e-13
0	6.13249e-13
0	6.26998e-13
0	6.40893e-13
0	6.54925e-13
0	6.69093e-13
0	6.83404e-13
0	6.97863e-13
0	7.12467e-13
0	7.27223e-13
0	7.42127e-13
0	7.5719e-13
0	7.72411e-13
0	7.87791e-13
0	8.03337e-13
0	8.19055e-13
0	8.3495e-13
0	8.51023e-13
0	8.67272e-13
0	8.83695e-13
0	9.00289e-13
0	9.17043e-13
0	9.33947e-13
0	9.50994e-13
0	9.68177e-13
0	9.85493e-13
0	1.00292e-12
0	1.02048e-12
0	1.03817e-12
0	1.056e-12
0	1.07397e-12
0	1.09211e-12
0	1.11044e-12
0	1.12897e-12
0	1.1477e-12
0	1.16665e-12
0	1.18581e-12
0	1.20518e-12
0	1.22476e-12
0	1.24455e-12
0	1.26456e-12
0	1.28477e-12
0	1.30519e-12
0	1.32583e-12
0	1.34668e-12
0	1.36775e-12
0	1.38905e-12
0	1.41057e-12
0	1.43232e-12
0	1.45429e-12
0	1.4765e-12
0	1.49895e-12
0	1.52162e-12
0	1.54454e-12
0	1.56769e-12
0	1.59108e-12
0	1.61471e-12
0	1.63857e-12
0	1.66267e-12
0	1.68701e-12
0	1.71161e-12
0	1.73645e-12
0	1.76155e-12
0	1.78691e-12
0	1.81254e-12
0	1.83844e-12
0	1.86461e-12
0	1.89107e-12
0	1.91781e-12
0	1.94484e-12
0	1.97216e-12
0	1.99977e-12
0	2.02767e-12
0	2.05586e-12
0	2.08436e-12
0.02	4.08351e-12
0.04	8.05023e-12
0.06	1.59009e-11
0.08	3.14134e-11
0.1	6.20242e-11
0.12	1.2233e-10
0.14	2.40904e-10
0.16	4.73505e-10
0.18	9.2855e-10
0.2	1.81593e-09
0.22	3.53993e-09
0.24	6.87432e-09
0.26	1.32882e-08
0.28	2.5541e-08
0.3	4.87396e-08
0.32	9.21356e-08
0.34	1.71973e-07
0.36	3.15478e-07
0.38	5.65266e-07
0.4	9.81837e-07
0.42	1.64036e-06
0.44	2.61938e-06
0.46	3.98478e-06
0.48	5.77721e-06
0.5	8.00893e-06
0.52	1.06689e-05
0.54	1.37309e-05
0.56	1.71612e-05
0.58	2.0924e-05
0.6	2.49837e-05
0.62	2.93072e-05
0.64	3.38643e-05
0.66	3.86276e-05
0.68	4.35726e-05
0.7	4.86775e-05
0.72	5.39225e-05
0.74	5.92902e-05
0.76	6.47649e-05
0.78	7.03322e-05
0.8	7.59796e-05
0.82	8.16953e-05
0.84	8.7469e-05
0.86	9.32911e-05
0.88	9.91531e-05
0.9	0.000105047
0.92	0.000110966
0.94	0.000116902
0.96	0.000122851
0.98	0.000128807
1	0.000134765
1.02	0.000140721
1.04	0.00014667
1.06	0.000152609
1.08	0.000158537
1.1	0.000164449
1.12	0.000170345
1.14	0.000176224
1.16	0.000182085
1.18	0.000187928
1.2	0.000193755
1.22	0.000199565
1.24	0.000205361
1.26	0.000211143
1.28	0.000216912
1.3	0.000222671
1.32	0.000228419
1.34	0.000234158
1.36	0.000239889
1.38	0.000245612
1.4	0.000251327
1.42	0.000257035
1.44	0.000262737
1.46	0.000268432
1.48	0.00027412
1.5	0.000279802
1.52	0.000285478
1.54	0.000291147
1.56	0.00029681
1.58	0.000302466
1.6	0.000308116
1.62	0.00031376
1.64	0.000319396
1.66	0.000325025
1.68	0.000330646
1.7	0.00033626
1.72	0.000341866
1.74	0.000347464
1.76	0.000353054
1.78	0.000358638
1.8	0.000364218
1.82	0.000369796
1.84	0.000375379
1.86	0.000380976
1.88	0.000386597
1.9	0.000392262
1.92	0.000397989
1.94	0.000403799
1.96	0.00040971
1.98	0.000415727

