"x"	"y"
0	-1.49129e-19
0	-2.04454e-15
0	8.13764e-20
0	6.6701e-07
0	9.75923e-07
0	1.12044e-06
0	1.20488e-06
0	1.27287e-06
0	1.33725e-06
0	1.4006e-06
0	1.4634e-06
0	1.52585e-06
0	1.58804e-06
0	1.65004e-06
0	1.71189e-06
0	1.77358e-06
0	1.83512e-06
0	1.89647e-06
0	1.9576e-06
0	2.01847e-06
0	2.07904e-06
0	2.13926e-06
0	2.19913e-06
0	2.25861e-06
0	2.31771e-06
0	2.37642e-06
0	2.43476e-06
0	2.49274e-06
0	2.55037e-06
0	2.60768e-06
0	2.66467e-06
0	2.72138e-06
0	2.7778e-06
0	2.83397e-06
0	2.8899e-06
0	2.94561e-06
0	3.00111e-06
0	3.05642e-06
0	3.11156e-06
0	3.16655e-06
0	3.22139e-06
0	3.27611e-06
0	3.33071e-06
0	3.38522e-06
0	3.43964e-06
0	3.49399e-06
0	3.54828e-06
0	3.60252e-06
0	3.65672e-06
0	3.7109e-06
0	3.76506e-06
0	3.81921e-06
0	3.87337e-06
0	3.92754e-06
0	3.98174e-06
0	4.03596e-06
0	4.09022e-06
0	4.14453e-06
0	4.19888e-06
0	4.2533e-06
0	4.30778e-06
0	4.36233e-06
0	4.41696e-06
0	4.47167e-06
0	4.52647e-06
0	4.58136e-06
0	4.63634e-06
0	4.69143e-06
0	4.74663e-06
0	4.80193e-06
0	4.85735e-06
0	4.91288e-06
0	4.96853e-06
0	5.0243e-06
0	5.0802e-06
0	5.13623e-06
0	5.19239e-06
0	5.24868e-06
0	5.3051e-06
0	5.36166e-06
0	5.41836e-06
0	5.4752e-06
0	5.53218e-06
0	5.58931e-06
0	5.64658e-06
0	5.704e-06
0	5.76156e-06
0	5.81928e-06
0	5.87714e-06
0	5.93515e-06
0	5.99332e-06
0	6.05163e-06
0	6.1101e-06
0	6.16872e-06
0	6.22749e-06
0	6.28641e-06
0	6.34549e-06
0	6.40472e-06
0	6.46411e-06
0	6.52365e-06
0	6.58334e-06
0	6.64319e-06
0	6.70319e-06
0.02	9.83081e-06
0.04	1.38298e-05
0.06	1.87083e-05
0.08	2.44309e-05
0.1	3.09341e-05
0.12	3.81414e-05
0.14	4.59726e-05
0.16	5.43504e-05
0.18	6.32028e-05
0.2	7.24647e-05
0.22	8.20777e-05
0.24	9.19899e-05
0.26	0.000102156
0.28	0.000112534
0.3	0.00012309
0.32	0.000133792
0.34	0.000144612
0.36	0.000155526
0.38	0.000166511
0.4	0.00017755
0.42	0.000188625
0.44	0.000199721
0.46	0.000210825
0.48	0.000221925
0.5	0.00023301
0.52	0.000244072
0.54	0.000255103
0.56	0.000266095
0.58	0.000277042
0.6	0.000287938
0.62	0.000298779
0.64	0.00030956
0.66	0.000320278
0.68	0.000330929
0.7	0.000341512
0.72	0.000352024
0.74	0.000362463
0.76	0.000372827
0.78	0.000383117
0.8	0.000393331
0.82	0.000403469
0.84	0.00041353
0.86	0.000423514
0.88	0.000433422
0.9	0.000443254
0.92	0.00045301
0.94	0.000462691
0.96	0.000472298
0.98	0.000481832
1	0.000491292
1.02	0.000500681
1.04	0.000509999
1.06	0.000519248
1.08	0.000528427
1.1	0.000537539
1.12	0.000546585
1.14	0.000555564
1.16	0.00056448
1.18	0.000573332
1.2	0.000582122
1.22	0.00059085
1.24	0.000599518
1.26	0.000608127
1.28	0.000616677
1.3	0.00062517
1.32	0.000633606
1.34	0.000641986
1.36	0.000650311
1.38	0.000658581
1.4	0.000666798
1.42	0.000674961
1.44	0.000683072
1.46	0.000691131
1.48	0.000699138
1.5	0.000707095
1.52	0.000715001
1.54	0.000722857
1.56	0.000730663
1.58	0.00073842
1.6	0.000746128
1.62	0.000753786
1.64	0.000761395
1.66	0.000768955
1.68	0.000776466
1.7	0.000783928
1.72	0.000791339
1.74	0.000798701
1.76	0.000806013
1.78	0.000813275
1.8	0.000820487
1.82	0.000827648
1.84	0.000834759
1.86	0.00084182
1.88	0.000848833
1.9	0.000855799
1.92	0.00086272
1.94	0.000869599
1.96	0.000876445
1.98	0.000883265

