"x"	"y"
0	-4.1931e-21
0	-1.22571e-18
0	-1.43925e-20
0	1.40819e-13
0	2.01614e-13
0	2.27598e-13
0	2.3977e-13
0	2.47184e-13
0	2.53222e-13
0	2.5888e-13
0	2.64407e-13
0	2.69851e-13
0	2.75236e-13
0	2.80579e-13
0	2.85895e-13
0	2.91182e-13
0	2.96447e-13
0	3.01692e-13
0	3.06932e-13
0	3.12152e-13
0	3.17372e-13
0	3.22591e-13
0	3.27805e-13
0	3.33021e-13
0	3.38239e-13
0	3.43466e-13
0	3.4869e-13
0	3.5393e-13
0	3.59172e-13
0	3.64426e-13
0	3.69687e-13
0	3.74956e-13
0	3.80233e-13
0	3.85528e-13
0	3.90829e-13
0	3.96143e-13
0	4.0146e-13
0	4.068e-13
0	4.12142e-13
0	4.17501e-13
0	4.22881e-13
0	4.2828e-13
0	4.337e-13
0	4.39148e-13
0	4.44625e-13
0	4.50128e-13
0	4.55657e-13
0	4.61207e-13
0	4.66773e-13
0	4.7235e-13
0	4.77929e-13
0	4.83506e-13
0	4.89073e-13
0	4.94636e-13
0	5.00189e-13
0	5.05741e-13
0	5.11297e-13
0	5.16862e-13
0	5.22447e-13
0	5.28059e-13
0	5.33703e-13
0	5.39379e-13
0	5.45092e-13
0	5.50839e-13
0	5.56616e-13
0	5.62423e-13
0	5.68258e-13
0	5.74123e-13
0	5.80017e-13
0	5.85941e-13
0	5.91897e-13
0	5.97883e-13
0	6.039e-13
0	6.09947e-13
0	6.16028e-13
0	6.2214e-13
0	6.28286e-13
0	6.34466e-13
0	6.4068e-13
0	6.46927e-13
0	6.53206e-13
0	6.59517e-13
0	6.65855e-13
0	6.72221e-13
0	6.78613e-13
0	6.85033e-13
0	6.91481e-13
0	6.9796e-13
0	7.0447e-13
0	7.11014e-13
0	7.17593e-13
0	7.24208e-13
0	7.30861e-13
0	7.37553e-13
0	7.44286e-13
0	7.51061e-13
0	7.57878e-13
0	7.64739e-13
0	7.71645e-13
0	7.78597e-13
0	7.85596e-13
0	7.92641e-13
0	7.99732e-13
0.02	1.60237e-12
0.04	3.25615e-12
0.06	6.66196e-12
0.08	1.36651e-11
0.1	2.80553e-11
0.12	5.76149e-11
0.14	1.18307e-10
0.16	2.42844e-10
0.18	4.98174e-10
0.2	1.02109e-09
0.22	2.0906e-09
0.24	4.27434e-09
0.26	8.72345e-09
0.28	1.77613e-08
0.3	3.60438e-08
0.32	7.27924e-08
0.34	1.45923e-07
0.36	2.89125e-07
0.38	5.62398e-07
0.4	1.06356e-06
0.42	1.932e-06
0.44	3.33174e-06
0.46	5.41251e-06
0.48	8.27081e-06
0.5	1.19362e-05
0.52	1.63836e-05
0.54	2.1556e-05
0.56	2.73819e-05
0.58	3.37876e-05
0.6	4.07027e-05
0.62	4.80624e-05
0.64	5.58083e-05
0.66	6.38881e-05
0.68	7.22553e-05
0.7	8.08683e-05
0.72	8.96902e-05
0.74	9.86881e-05
0.76	0.000107833
0.78	0.000117098
0.8	0.000126461
0.82	0.000135902
0.84	0.000145402
0.86	0.000154947
0.88	0.000164523
0.9	0.000174118
0.92	0.000183725
0.94	0.000193334
0.96	0.00020294
0.98	0.000212539
1	0.000222126
1.02	0.000231699
1.04	0.000241258
1.06	0.0002508
1.08	0.000260325
1.1	0.000269835
1.12	0.000279328
1.14	0.000288807
1.16	0.00029827
1.18	0.000307721
1.2	0.000317158
1.22	0.000326583
1.24	0.000335997
1.26	0.000345401
1.28	0.000354794
1.3	0.000364177
1.32	0.000373551
1.34	0.000382916
1.36	0.000392271
1.38	0.000401616
1.4	0.00041095
1.42	0.000420273
1.44	0.000429583
1.46	0.00043888
1.48	0.00044816
1.5	0.000457422
1.52	0.000466663
1.54	0.000475879
1.56	0.000485066
1.58	0.000494219
1.6	0.000503334
1.62	0.000512405
1.64	0.000521427
1.66	0.000530393
1.68	0.000539299
1.7	0.000548138
1.72	0.000556908
1.74	0.000565603
1.76	0.00057422
1.78	0.000582758
1.8	0.000591214
1.82	0.000599587
1.84	0.000607876
1.86	0.000616082
1.88	0.000624205
1.9	0.000632245
1.92	0.000640205
1.94	0.000648084
1.96	0.000655885
1.98	0.00066361

